;Chapter;;Due in Class;;Due for Public;
1;Intro Testing;;2018-10-16;1, 2;;
2;Fuzzing;;2018-10-23;3, 4;;
3;Coverage;;2018-10-30;5;2018-10-30;1, 2
4;Mutation-Based Fuzzing;;2018-11-06;6;2018-11-06;3, 4
5;Fuzzing with Grammars;;2018-11-13;7;2018-11-13;5
6;Efficient Grammar Fuzzing;;2018-11-20;8;2018-11-20;6
7;Grammar Coverage;;2018-11-27;9;2018-11-27;7
8;Testing Configurations;;2018-12-04;10;2018-12-04;8
9;Parsers;;2018-12-11;11, 12;2018-12-11;9
10;Probabilistic Grammar Fuzzing;;2018-12-18;13, 14;2018-12-18;10
11;Fuzzing with Generators;;2019-01-08;15;2019-01-08;11
12;Fuzzing APIs;;2019-01-15;16, 17;2019-01-15;12
13;Carving Unit Tests;;2019-01-22;18;2019-01-22;13
14;Reducing Inputs;;2019-01-29;19;2019-01-29;14
15;Web Testing;;2019-02-05;20;2019-02-05;15
16;GUI Testing;;;;2019-02-12;16
17;Search-Based Fuzzing;;;;2019-02-19;17
18;Mining Grammars;;;;2019-02-26;18
19;Testing Information Flow;;;;2019-03-05;19
20;Symbolic Fuzzing;;;;2019-03-12;20
21;Oracles;;;;2019-03-17;21
22;Fuzzing in the Large;;;;2019-03-24;22
23;Mutation Analysis;;;;2019-03-31;23
;;;;;;
